sort_order,wmo,name,history_product,time_zone_name,TDZ,aifstime_utc,aifstime_local,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend,rain_hour,rain_ten,rain_trace,rain_trace_time,rain_trace_time_utc,local_9am_date_time,local_9am_date_time_utc,duration_from_local_9am_date,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd_kt,wind_src
0,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531042000,20230531142000,-27.9396,153.1914,16.1,-,-9999,-9999,-9999,-,6.7,7,4,18.1,4.3,-9999,-9999,-9999,-,0,0,0,20230531142000,20230531042000,20230531090000,20230530230000,320,40,-,-,-9999,-9999,-,-,NW,310,4,2,metar_10
1,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531041000,20230531141000,-27.9396,153.1914,15.4,-,-9999,-9999,-9999,-,6.4,11,6,17.9,4.8,-9999,-9999,-9999,-,0,0,0,20230531141000,20230531041000,20230531090000,20230530230000,310,42,-,-,-9999,-9999,-,-,W,280,7,4,metar_10
2,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531040000,20230531140000,-27.9396,153.1914,15.7,-,-9999,-9999,-9999,-,6.5,9,5,18,4.8,-9999,-9999,-9999,-,0,0,0,20230531140000,20230531040000,20230531090000,20230530230000,300,41,-,-,-9999,-9999,-,-,WNW,290,6,3,metar_10
3,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531035000,20230531135000,-27.9396,153.1914,15.2,-,-9999,-9999,-9999,-,6.5,11,6,17.8,4.4,-9999,-9999,-9999,-,0,0,0,20230531135000,20230531035000,20230531090000,20230530230000,290,41,-,-,-9999,-9999,-,-,WNW,290,7,4,metar_10
4,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531034000,20230531134000,-27.9396,153.1914,14.8,-,-9999,-9999,-9999,-,6.3,15,8,17.7,4.8,-9999,-9999,-9999,-,0,0,0,20230531134000,20230531034000,20230531090000,20230530230000,280,42,-,-,-9999,-9999,-,-,WNW,300,9,5,metar_10
5,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531033000,20230531133000,-27.9396,153.1914,15.4,-,-9999,-9999,-9999,-,6.8,11,6,17.9,3.9,-9999,-9999,-9999,-,0,0,0,20230531133000,20230531033000,20230531090000,20230530230000,270,39,-,-,-9999,-9999,-,-,NW,310,6,3,metar_10
6,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531032000,20230531132000,-27.9396,153.1914,15.4,-,-9999,-9999,-9999,-,6.5,9,5,17.8,4.4,-9999,-9999,-9999,-,0,0,0,20230531132000,20230531032000,20230531090000,20230530230000,260,41,-,-,-9999,-9999,-,-,WNW,290,6,3,metar_10
7,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531031000,20230531131000,-27.9396,153.1914,15.1,-,-9999,-9999,-9999,-,6.4,9,5,17.6,4.6,-9999,-9999,-9999,-,0,0,0,20230531131000,20230531031000,20230531090000,20230530230000,250,42,-,-,-9999,-9999,-,-,W,280,7,4,metar_10
8,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531030000,20230531130000,-27.9396,153.1914,14.4,-,-9999,-9999,-9999,-,6.2,13,7,17.3,4.7,-9999,-9999,-9999,-,0,0,0,20230531130000,20230531030000,20230531090000,20230530230000,240,43,-,-,-9999,-9999,-,-,WNW,290,9,5,metar_10
9,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531025000,20230531125000,-27.9396,153.1914,14.7,-,-9999,-9999,-9999,-,6,11,6,17.2,4.9,-9999,-9999,-9999,-,0,0,0,20230531125000,20230531025000,20230531090000,20230530230000,230,44,-,-,-9999,-9999,-,-,WNW,290,7,4,metar_10
10,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531024000,20230531124000,-27.9396,153.1914,14.2,-,-9999,-9999,-9999,-,5.9,11,6,17,5,-9999,-9999,-9999,-,0,0,0,20230531124000,20230531024000,20230531090000,20230530230000,220,45,-,-,-9999,-9999,-,-,W,280,9,5,metar_10
11,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531023000,20230531123000,-27.9396,153.1914,14.1,-,-9999,-9999,-9999,-,5.6,13,7,16.8,5.6,-9999,-9999,-9999,-,0,0,0,20230531123000,20230531023000,20230531090000,20230530230000,210,47,-,-,-9999,-9999,-,-,W,260,9,5,metar_10
12,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531022000,20230531122000,-27.9396,153.1914,14.7,-,-9999,-9999,-9999,-,5.9,11,6,17.1,5.2,-9999,-9999,-9999,-,0,0,0,20230531122000,20230531022000,20230531090000,20230530230000,200,45,-,-,-9999,-9999,-,-,W,280,7,4,metar_10
13,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531021000,20230531121000,-27.9396,153.1914,14.3,-,-9999,-9999,-9999,-,5.6,11,6,17,5.7,-9999,-9999,-9999,-,0,0,0,20230531121000,20230531021000,20230531090000,20230530230000,190,47,-,-,-9999,-9999,-,-,W,280,9,5,metar_10
14,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531020000,20230531120000,-27.9396,153.1914,14.5,-,-9999,-9999,-9999,-,5.3,13,7,17,6.5,-9999,-9999,-9999,-,0,0,0,20230531120000,20230531020000,20230531090000,20230530230000,180,50,-,-,-9999,-9999,-,-,W,270,9,5,metar_10
15,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531015000,20230531115000,-27.9396,153.1914,15.2,-,-9999,-9999,-9999,-,5.7,11,6,17.3,5.9,-9999,-9999,-9999,-,0,0,0,20230531115000,20230531015000,20230531090000,20230530230000,170,47,-,-,-9999,-9999,-,-,NW,320,6,3,metar_10
16,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531014000,20230531114000,-27.9396,153.1914,15.2,-,-9999,-9999,-9999,-,6.3,9,5,17.2,4.2,-9999,-9999,-9999,-,0,0,0,20230531114000,20230531014000,20230531090000,20230530230000,160,42,-,-,-9999,-9999,-,-,NNW,330,4,2,metar_10
17,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531013000,20230531113000,-27.9396,153.1914,14.4,-,-9999,-9999,-9999,-,6.2,11,6,16.9,4,-9999,-9999,-9999,-,0,0,0,20230531113000,20230531013000,20230531090000,20230530230000,150,42,-,-,-9999,-9999,-,-,NNW,330,6,3,metar_10
18,99123,PORTABLE QFRJ (North Tamborine),IDQ60910,Australia/Brisbane,+10:00,20230531012000,20230531112000,-27.9396,153.1914,14.6,-,-9999,-9999,-9999,-,6.3,9,5,16.8,3.6,-9999,-9999,-9999,-,0,0,0,20230531112000,20230531012000,20230531090000,20230530230000,140,41,-,-,-9999,-9999,-,-,N,350,4,2,metar_10
